name:trivia,processedname,ward,trivia,localhero
Phố Bà Huyện Thanh Quan - Ba Đình,Bà Huyện Thanh Quan,Ba Đình,,
Đường Bắc Sơn - Ba Đình,Bắc Sơn,Ba Đình,,
Phố Bắc Sơn - Ba Đình,Bắc Sơn,Ba Đình,,
Ngõ 8+10 Phố Cao Bá Quát - Ba Đình,Cao Bá Quát,Ba Đình,,
Phố Cao Bá Quát - Ba Đình,Cao Bá Quát,Ba Đình,Phố Cao Bá Quát được hình thành dựa trên một phần hào nước xung quanh thành Hà Nội.,
Ngõ Châu Long - Ba Đình,Châu Long,Ba Đình,,
Ngõ Chùa Châu Long - Ba Đình,Châu Long,Ba Đình,,
Phố Châu Long - Ba Đình,Châu Long,Ba Đình,,
Phố Chu Văn An - Ba Đình,Chu Văn An,Ba Đình,,
Phố Chùa Một Cột - Ba Đình,Chùa Một Cột,Ba Đình,,
Ngõ 29 Phố Cửa Bắc - Ba Đình,Cửa Bắc,Ba Đình,,
Phố Cửa Bắc - Ba Đình,Cửa Bắc,Ba Đình,,
Phố Đặng Dung - Ba Đình,Đặng Dung,Ba Đình,Phố Đặng Dung được hình thành dựa trên trục chính của Dương mã thành phía Bắc của thành Hà Nội. Hiện nay trên ảnh vệ tinh vẫn còn thấy được dấu vết của Dương mã thành thông qua các nhà ở dân cư hiện trạng và Nhà thờ Cửa Bắc.,
